HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
89,18,Sunday,GraphVideo,neutral,1625,False,0,22709,18.258426966292134,255.1573033707865,0.0,3,0,2470992,0
90,18,Sunday,GraphImage,negative,17404,False,1423,0,193.37777777777777,0,15.811111111111112,4,0,2470992,0
90,17,Sunday,GraphSidecar,negative,8193,False,556,0,91.03333333333333,0,6.177777777777778,1,0,2470992,0
91,16,Sunday,GraphSidecar,positive,6437,False,87,0,70.73626373626374,0,0.9560439560439561,0,1,2470992,0
91,16,Sunday,GraphVideo,negative,31380,False,6744,277802,344.83516483516485,3052.769230769231,74.10989010989012,2,0,2470992,0
91,16,Sunday,GraphImage,neutral,51403,False,1713,0,564.8681318681319,0,18.824175824175825,1,0,2470992,0
92,15,Sunday,GraphSidecar,positive,3173,True,0,0,34.48913043478261,0,0.0,0,2,2470992,0
93,15,Sunday,GraphImage,negative,9888,False,738,0,106.3225806451613,0,7.935483870967742,0,0,2470992,0
93,14,Sunday,GraphVideo,negative,47644,False,9264,366944,512.3010752688172,3945.6344086021504,99.61290322580645,0,0,2470992,0
94,13,Sunday,GraphVideo,positive,6658,False,147,70857,70.82978723404256,753.7978723404256,1.5638297872340425,4,1,2470992,0
94,13,Sunday,GraphImage,positive,27592,False,1638,0,293.531914893617,0,17.425531914893618,0,0,2470992,0
94,13,Sunday,GraphImage,positive,24306,False,1309,0,258.5744680851064,0,13.925531914893616,1,0,2470992,0
95,12,Sunday,GraphVideo,positive,18754,False,1196,196154,197.41052631578947,2064.778947368421,12.589473684210526,0,2,2470992,0
96,12,Sunday,GraphImage,neutral,19556,False,2315,0,203.70833333333334,0,24.114583333333332,3,0,2470992,0
96,11,Sunday,GraphVideo,positive,19337,False,3700,195693,201.42708333333334,2038.46875,38.541666666666664,1,0,2470992,0
97,10,Sunday,GraphSidecar,neutral,2135,True,69,0,22.010309278350515,0,0.711340206185567,0,3,2470992,0
97,10,Sunday,GraphImage,negative,24766,False,3390,0,255.31958762886597,0,34.94845360824742,1,0,2470992,0
97,10,Sunday,GraphImage,neutral,10549,False,1013,0,108.75257731958763,0,10.443298969072165,0,0,2470992,0
98,9,Sunday,GraphImage,neutral,3318,True,157,0,33.857142857142854,0,1.6020408163265305,0,0,2470992,0
98,9,Sunday,GraphImage,negative,18399,False,1405,0,187.74489795918367,0,14.33673469387755,2,0,2470992,0
99,9,Sunday,GraphVideo,positive,28066,False,3881,273351,283.4949494949495,2761.121212121212,39.2020202020202,0,0,2470992,0
99,8,Sunday,GraphImage,neutral,2378,True,150,0,24.02020202020202,0,1.5151515151515151,0,0,2470992,0
100,8,Sunday,GraphSidecar,neutral,13736,False,1192,0,137.36,0,11.92,0,0,2470992,0
100,7,Sunday,GraphVideo,negative,9789,False,425,151269,97.89,1512.69,4.25,1,0,2470992,0
101,6,Sunday,GraphVideo,positive,2740,True,93,41033,27.128712871287128,406.26732673267327,0.9207920792079208,0,1,2470992,0
